ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540035,Malawi,4540023,"TA Kaomba",3,1998,12.551,.67019,.52622,.032756,.19175,.01718,.09368,.010517,.22664,.025317,.35524,.01493,16809.04546,.21318,.018421,.21525,.019125,.27228,.03055,.10149,.008434,.34616,.023051,6623,6554,31943,31873,
4540036,Malawi,4540023,"TA Kapelula",3,1998,10.15834,1.139369,.6559818,.0694605,.2493127,.0441531,.1228325,.027899,.3070153,.0689705,.3213669,.0152332,14343.6980388,.1725881,.0170973,.1794546,.0187643,.2302759,.0334167,.0840402,.0081185,.2860363,.0229614,4535,4491,21866,21813,
4540037,Malawi,4540023,"TA Mwase",3,1998,11.7787,.64978,.55567,.037346,.19693,.02134,.09348,.013207,.23026,.033641,.33451,.015351,10097.07957,.18748,.017867,.19179,.019289,.24189,.03182,.09032,.008404,.30973,.023148,4009,3977,18171,18137,
4540038,Malawi,4540023,"TA Santhe",3,1998,11.11379,1.029898,.6077034,.0538371,.2269603,.031378,.111449,.0193687,.2745208,.0478975,.3369101,.0159953,39223.6082496,.1916776,.0194439,.1981331,.0220595,.2622491,.047565,.0924536,.0091755,.3132419,.0240784,13007,12876,64544,63937,
4540039,Malawi,4540023,"TA Wimbe",3,1998,10.91811,.8946636,.6281221,.0466079,.2395603,.0305163,.1184725,.0197692,.2953392,.0486501,.3400886,.0160827,46452.1417834,.1933592,.0193873,.2012688,.021452,.263046,.0385374,.0937082,.0091282,.3122235,.0236212,15778,15624,73954,73487,
4540041,Malawi,4540040,"Area 1",3,1998,17.2041,1.601,.43474,.04276,.15702,.02498,.07632,.01596,.18504,.03775,.43359,.02175,4748.23028,.32059,.03498,.34464,.04065,.53923,.10276,.15305,.015836,.45029,.03456,2201,2180,10922,10746,
4540042,Malawi,4540040,"Area 10",3,1998,37.0573,4.3996,.20557,.02564,.07494,.01239,.03769,.00798,.0887,.01853,.51132,.03217,819.60759,.47975,.06697,.50116,.07208,.88992,.20724,.21714,.027222,.59905,.04888,956,935,3987,3955,
4540043,Malawi,4540040,"Area 11",3,1998,34.4689,6.4013,.13927,.05158,.04498,.02059,.02199,.01173,.04515,.02387,.41521,.0386,149.71525,.32081,.05973,.33724,.08452,.56574,.2737,.14984,.029194,.47974,.05923,315,315,1075,985,
4540044,Malawi,4540040,"Area 12",3,1998,32.0579,3.9359,.1725,.04367,.05316,.01616,.02329,.00827,.05475,.021,.455,.02659,453.5025,.36462,.04486,.4053,.0633,.74657,.26709,.17408,.021379,.4912,.03934,517,510,2629,2621,
4540045,Malawi,4540040,"Area 13",3,1998,8.678,9.6376,.75,.43519,.41552,.32615,.27797,.27728,.56,.49889,,,27.75,0,0,0,0,0,0,0,0,0,0,3,1,37,2,
4540046,Malawi,4540040,"Area 14",3,1998,28.6729,7.5584,.26232,.06454,.09456,.02939,.04748,.01784,.10723,.04287,.46103,.04687,225.85752,.41008,.09576,.41904,.12966,.65525,.41025,.1866,.04335,.54843,.06317,175,168,861,856,
4540047,Malawi,4540040,"Area 15",3,1998,24.1859,4.6277,.34087,.09415,.16476,.06927,.10248,.05362,.2095,.09061,.47727,.04796,638.10864,.46558,.12414,.4118,.09148,.55764,.16571,.19569,.041856,.61609,.09247,278,274,1872,1773,
